업체명,대표자명,주소,연락처
(주)이노월드컨설팅,이병섭,서울특별시 구로구 디지털로33길 11 (구로동) 에이스테크노타워 8차 201호,02-2025-7712
(주)이엠솔루션,김동수,대구 북구 산격2동 유통단지산업용재관 19동 6호(2층),053-604-1292
예스컨설팅,이주양,서울 서대문구 연희동 서울시 서대문구 연희동 719-19,02)326-3359
김재홍,김재홍,경상북도 칠곡군 약목면 관호8길 28-18 (삼주강변타운) 삼주강변타운 103동 604호,010-2766-0146
한국여성창업대학원,양혜숙,서초구 서울서초구서초동 1328-11 대우도씨에빛2차 1014,01) 508-4886
디엠에스컨설팅(주),이형순,대전광역시 유성구 테크노2로 187 (용산동) 미건테크노월드 2차 229호,042-534-0017
피앤제이주식회사,박재희,광주 북구 운암3동 미라보아파트 302동 809호,062-972-3136
두리,정해봉,인천 남동구 만수2동 신동아아파트 5동1002호,010=2298-5812
현파트너스(주),정현호,서울 양천구 목1동 현대41타워 3608호(부설 : 한국채권관리연구소),02-571-8063
세무사경영지도사김명호사무소,김명호,제주 제주시 오라1동 1012-6  2층,726-2330
윤정,송재윤,대전 서구 둔산동 가람아파트 1-401호,01033044890
미래경영컨설팅,윤판성,서울특별시 강남구 도곡로77길 15-1 (대치동) 현대빌라 A동 301호,0112606411
마스타컨설팅그룹(주),김명래,서울 강남구 테헤란로 625 17층1713호,02-548-2528
기업전략연구원,서정태,경기도 안산시 상록구 건건로 97 (건건동) 203호,031-502-2119
(주)제이디경영연구원,김찬식,서울특별시 강남구 언주로 651 (논현동) kovix빌딩 3층,02-543-9697
경영개발원 우통,김영채,경기 수원시 장안구 조원동 한일타운 126동 301호,031-221-7341
새롬경영자문(주),임석우,전라북도 전주시 완산구 물왕멀4길 15-1 (서노송동) 공원빌라 203호,063-853-6464
(주)티에스경영컨설팅,손장호,경기도 화성시 효행로 1068 (병점동) 리더스프라자 606호,031-225-4775
"하나경영자문,주",지문태,서울특별시 구로구 경인로55길 51 (구로동) 한성상가A동 212,02-2671-4888
C&K코리아,박성하,서울 관악구 삼성동 295-20,010-9762-2577
(주)킴스파트너스,김용민,서울특별시 종로구 새문안로 91 (신문로1가) 고려빌딩 1113호,070-8267-3501
(주)중소기업경영연구원,이용만,경상남도 양산시 동면 양산대로 628,055-388-1424
이노팀스(주),도기철,부산 동래구 사직동 쌍용예가 APT 123-1902,010 5097 4283
벤처진흥원(주),최흥묵,대전광역시 유성구 가정북로 96 (장동) 대전중소기업지원센터 410,042-864-2231
(주)한국경영기술원,김행곤,경남 양산시 명곡동 양산대학 BI센터 2416호,055-385-1295
범일티엠씨(주),김요찬,서울 강남구 대치4동 상제리제빌딩 A동 1102호,02-565-1862
한빛경영연구소,노창주,광주 북구 용봉동 전남대학교 산학협력2관 301호,062-530-0487
올리브세무사사무소,이희섭,경기 파주시 교하읍 동패리 숲속길마을월드메르디앙센트 704-1003,031-932-1458
한국기업경영연구원,전영웅,서울 영등포구 당산동2가 영등포유통상가 640호,02-2068-1797
리더스경영컨설팅법인,김민선,서울특별시 강남구 테헤란로 322 (역삼동) 서관 14층 1413호,02-556-3891
아이티씨지(주),신철,서울 금천구 가산디지털1로 30 1101호(에이스하이엔드타워 10차),02-869-1515
지식산업개발쎈타,박상걸,서울특별시 관악구 남부순환로 1620 (신림동),010-2755-2583
주식회사 한길,한형주,경북 포항시 북구 흥해읍 포항1대학 창업보육센터105,054-232-8234
(주)IBS컨설팅리더십센타,노언필,서울 광진구 구의3동 한양빌라 2-302,02-454-2272
경영지도사,전영호,서울 도봉구 창5동 북한산아이파크아파트 525-901,010-2639-0762
(주)네이카경영.기술컨설팅,김현영,서울 관악구 미성동 대우푸르지오아파트 116동 702호,02-6747-8844
.,한기환,서울 동대문구 답십리4동 한신아파트 3-305,01053098948
기술지도사,김명암,부산광역시 서구 천해로13번나길 20-12 (암남동),010-9908-5873
박영태,박영태,서울특별시 서초구 남부순환로347길 53 (서초동) 영초빌딩201,02-3473-0888
twins영우,정계영,서울 관악구 성현동 동아아파트 109동 505호,010-8212-5131
e국제규격인증원,나준수,"경기도 안양시 동안구 일동로 46-10 (관양동, 한진빌라) 한진빌딩 402호",031-386-4684
장호원,장호원,대구 달서구 도원동 롯데캐슬아파트 102동1602호,053-281-0977
(주)국제경영기술원,하영희,부산광역시 금정구 두실로24번길 14-2 (남산동),051-583-7997
티에스세무그룹,장대준,경기도 화성시 효행로 1068 (병점동) 리더스프라자 606호,031-225-4775
이엠솔루션(주),김동수,대구광역시 달서구 호산로 47 (파호동),053-588-2191
김성효,김성효,대구 수성구 시지동 노변타운 203동301호,
이경걸,이경걸,울산광역시 중구 서원2길 70 (반구동),052-293-5158
없음,강병노,인천 남동구 서창동 서창자이@ 104-1204호,010-9092-4133
주식회사 경상,권영대,경상북도 경산시 압량면 압독로 261-8,053-815-5050
신전경영지도사무소,김웅엽,전북 익산시 모현동1가 제일고층아파트 311호,011-676-3850
토털기업컨설팅(주),오진영,경기도 수원시 장안구 대평로 28-16 (정자동) 경기도수원시장안구정자동887-1 우방아파트317동402호,031-269-6578
(주)블루안,이채안,서울 성북구 돈암동 돈암힐스테이트 106동 502호,02-556-6026
한우리경영연구소,전영준,인천 연수구 송도동 송도웰카운티1단지아파트 114동802호,031-355-9101
.,양승학,서울 강남구 논현동 45월드노블레스빌 402호,025360122
고려경영지도사무소,박영호,서울 송파구 오륜동 올림픽선수촌아파트 122동203호,010-7118-8622
한국기업가치연구원,김수현,"서울특별시 양천구 목동로 230 (목동, 아이파크아파트) 현대 아이파크 102동 1002호",02-3273-1034
중앙경제진단연구소,서종완,서울특별시 은평구 녹번로 60 (녹번동) 1층,023597911
(주)한국경영전략연구원,곽영상,서울 종로구 숭인동 317-35  숭인오피스텔,02-2234-4278
노무법인 일하는 사람들,김재규,경기도 평택시 경기대로 1375 (서정동) 노무법인 일하는 사람들,031-664-0965
맹산,정명식,"서울특별시 서초구 동광로3길 18 (방배동, 방배아이파크) 방배아이파크 401-805",02-594-0804
열림,김정현,서울 구로구 신도림동 동아아파트 111,017-225-1388
한길,이상훈,서울 서초구 방배2동 농수축산신보빌딩 111,02-582-6611
-,허당,경기 용인시 기흥구 동백동 백현마을휴먼시아아파트 2807동604호,01198871393
(주)미래경영,김진태,부산광역시 중구 중앙대로 22 (중앙동6가),051-464-3122
(주)HPS경영컨설팅,고진영,경기도 성남시 중원구 갈마치로 215 (상대원동) 금강펜테리움 B동 1008호,031-730-0666
(주)비즈웹코리아,은종성,대전광역시 서구 대덕대로 408 (만년동) 726호,042-610-6401
대한경영자문,박윤호,"경상북도 구미시 형곡로3길 8-21 (형곡동, 동우주택)",054-458-4014
명성경영컨설팅,이시복,서울 서대문구 충정로2가 사조산업빌딩 본관 301호,02-778-3701
(주)씨엔케이지,박성하,경기도 광명시 시청로 7 (철산동) 에이스텔빌딩 601호,02-2685-3435
SYS경영컨설팅,신용선,서울 노원구 공릉동 주완위즈빌 204호,010-3914-4199
전기공사공제조합,최정락,서울특별시 강남구 강남대로 574 (논현동) 전기공사공제조합10층,010-7799-1785
엠테크컨설팅,문찬영,서울 서초구 서초2동 무지개아파트 10동 902호,010-8713-1727
cravenaut,강경훈,광주 북구 일곡동 금호타운 103-802,011-9609-2617
(주)칸 컨설팅,최백연,광주 북구 대촌동 광주테크노파크 958-3 사업화 2동 210호,062-602-7375
이녹스컨설팅,공호근,서울특별시 영등포구 영등포로5길 31 (양평동2가) 동애빌딩1층,02-2631-8681
가나메카텍,우종택,경남 김해시 장유면 대청리 62-1 옥스포드빌딩 901호,055-322-6701
(주)서동경영자문,최동옥,부산 중구 중앙동1가 부산시 중구 중앙동,(051)441-0777
경영지도사김용기사무소,김용기,전북 군산시 나운동 현대2차아파트 206동 704호,063)468-8270
큐텐경영컨설팅,박영재,경기 용인시 기흥구 중동 어은목마을대원칸타빌아파트 4105동 602호,031-205-9001
베스트경영컨설팅,이수관,"경기도 평택시 은실1길 11 (세교동, 대명빌라) A동 402호",031-657-6973
베스트경영컨설팅,이수관,"경기도 평택시 은실1길 11 (세교동, 대명빌라) A동 402호",031-657-6973
(주)하나창업경영컨설팅,서성열,광주광역시 남구 대남대로 255 (백운동) 3층,062-675-8583
항도창업컨설팅,백규흠,경상남도 창원시 의창구 사림로57번길 39-12 (사림동),000-286-4668
엘엔와이경영전략연구원(주),양충훈,경기 부천시 원미구 중동 다운타운빌딩 1002호,032-322-7703
KMOT,이창희,서울특별시 영등포구 국회대로28길 13-1 (당산동3가),02-2632-7766
경영지도사,김서영,경북 구미시 황상동 화진금봉타운아파트 201/1307,054-473-4318
IPC경영컨설팅,정범영,서울 서초구 양재2동 삼호물산A빌딩 1407호,02-503-5524
cnc경영컨설팅,김해진,충청남도 부여군 부여읍 성왕로 435,041-833-5950
다산경영컨설팅(주),이덕제,경기 수원시 영통구 매탄2동 한국1차아파트 104-505,031-214-9908
엠,석호삼,강원 동해시 부곡동 휴먼시아 아파트 406동,019-395-5725
무,지경숙,경기 시흥시 월곶동 월곶동풍림4차아파트 405-1401,031-435-6116
코스트인터내셔날,강문용,서울특별시 강남구 개포로31길 9-6 (개포동) 금광빌라 102호,02-574-7399
주)닥터조,조영웅,경기도 화성시 송산면 공룡로241번길 62-5,010-6261-3453
강병진,강병진,부산 동래구 안락동 안락뜰안채204동1606호,051-926-4156
(주)하나종합컨설팅,우남수,대구 북구 태전동 505-27(2층),053-311-1444
(주)파플넷,김진희,서울특별시 서초구 효령로 425 (서초동) 여남빌딩3층,010-9977-8851
(주)글로벌경영전략컨설팅,윤정욱,경기도 부천시 원미구 조마루로 269 (중동) . 미리내 롯데상가 301호,032-321-7071
유일티앤엠컨설팅,류득형,서울특별시 마포구 마포대로 173 (공덕동) 현대하이엘224호,02-2068-8889
대하경영자문,하청정,서울특별시 구로구 개봉로17가길 7 (개봉동),02-2060-9432
충남,김영애,충남 계룡시 두마면 부남리 사서함 201-29호,042-550-5817
04,김인규,서울특별시 관악구 대학18길 30 (신림동),02)797-8215
(주)파인트리,김상철,경상남도 양산시 중앙로 13-2 (다방동),055-367-5531
글로벌세무경영컨설팅,황금연,서울 송파구 잠실3동 갤러리아팰리스 비동 1201호,02-415-1400
유우경,유우경,대전 서구 월평3동 황실타운아파트 118동101호,0424862108
상신경영연구원(주),신상혁,"서울특별시 동작구 사당로9길 1 (사당동, 에스디빌) 에스디빌 401호",010-3661-8663
엠에프씨컨설팅,이강원,"서울특별시 금천구 시흥대로145길 72 (가산동, 두산그린빌라) 두산그린빌라 101-204호",010-6268-9499
삼일회계법인,안경태,서울 용산구 갈월동 샬롬빌리지 402,010-2894-2551
(주)에스경영전문가그룹,정병창,서울특별시 강남구 개포로 227 (개포동) 삼봉빌딩 501,02-573-0597
(주)HK경영기술지원센터,금재일,서울특별시 구로구 공원로 47 (구로동) 도림베어스타워 605호,02)857-8958
성종세무회계경여사무소,길종섭,서울 영등포구 대림3동 현대3차아파트 302-1706,028493337
성종세무회계경여사무소,길종섭,서울 영등포구 대림3동 현대3차아파트 302-1706,028493337
한솔창업경영컨설팅(주),이승희,"광주광역시 동구 밤실로 147 (산수동, 두암타운) 두암타운105동 104호",010-7170-5228
청우경영,김배성,"서울특별시 양천구 목동동로 257 (목동, 하이페리온) 현대하이페리온101-5605",01087853288
KPL경영기술원,박수용,대구광역시 달서구 서당로7길 85 (신당동),019-408-0826
송헌,옥영상,강북구  삼각산동 sk@ 118동 1904호,02-982-8050
(주)카플란경영컨설팅,장좌환,서울특별시 강남구 봉은사로112길 12 (삼성동) 상화빌딩,02-6637-7887
(주)미래경영개발원,이승용,경기도 수원시 팔달구 경수대로 597 (지동) 상원빌딩3층,031-244-2335
한화GS경영기술문화원,황면기,"경기도 수원시 장안구 정자천로133번길 26 (정자동, 백설마을 동양고속아파트) 백설마을 동양@ 552동 1603호",011-785-9802
이노경영기술원,김희철,대구광역시수성구범물1동1279 보성타운101동902호,053-783-1541
(주)이앤지경영연구소,정길용,경기도 고양시 일산동구 호수로 688 (장항동) 코오롱레이크폴리스(2) 에이-1519,017-360-4032
주)프로솔컨설팅,문옥철,서울 강남구 역삼동 831  혜천빌딩 1008호,02-568-6906
진명컨설팅,이명근,충청남도 천안시 동남구 신촌로 24 (신방동) 바동 3085호,041-570-8300
(주)신한경영법인,하재은,서울 양천구 목동 동로 293 현대41타워 1404호,02-564-6777
맨테크컨설팅,임동학,서울특별시 중구 퇴계로 381 (신당동) 국민은행7층,02-2233-7553
노무법인산하,김원기,서울특별시 서초구 강남대로10길 21 (양재동) 명진빌딩 501호,02-572-0048
드림씨엔에스,조수익,서울 마포구 공덕동 풍림빌딩 1701호,027112622
(주)SKK컨설팅그룹,서종수,경기도 수원시 팔달구 권광로 159 (인계동) 수원프라자 1106,031-239-0293
비젼기업컨설팅(주),윤범식,서울 금천구 가산동 대륭테크노타워3차 708호,02-838-4111
비즈엑설런트컨설팅,이동훈,서울특별시 강남구 봉은사로24길 74 (역삼동),010-5667-5987
HPS경영컨설팅(주),이정희,경기 용인시 기흥구 구갈동 강남마을7단지계룡리슈빌아파트 701-201,031-275-9428
에이센산업,안상훈,서울 강남구 대치동 은마이파트 6-204,010-3726-0885
MED Con Co.,김용권,"광주광역시 남구 서문대로 660 (진월동, 삼익세라믹아파트)",018-617-5517
프로비즈경영연구원,이중호,경기도 수원시 장안구 경수대로927번길 12-33 (송죽동),011-663-3409
(주)이노월드컨설팅,이병섭,서울특별시 구로구 공원로 3 (구로동) 선경오피스텔 406호,02-597-7028
(주)토탈비즈,김병재,경남 창원시 용호동 경상남도지방행정동우회 101,0552847733
티에스세무그룹,장대준,경기도 화성시 효행로 1068 (병점동) 리더스프라자 606호,031-225-4775
아이씨에스,한동오,인천 부평구 후정로 7 107-1801,070-7532-7687
아이씨에스,한동오,인천 부평구 후정로 7 107-1801,070-7532-7687
재무관리,이영기,서울 성동구 성수1가1동 건영아파트 103동 1108호,016-647-2797
(주)경영자원연구소,김정용,서울 강남구 테헤란로69길 14 삼성오피스텔 504호,02-555-9812
한국KP경영컨설팅,봉구원,경기도 평택시 팽성읍 동서촌로129번길 31-5 (중앙타운) 중앙타운 103동 203호,019-253-2750
(주)티티씨,편만리,서울특별시 강남구 영동대로 510 (삼성동) 304호,0232802773
(주)유윈컨설팅,박두현,경기 안양시 만안구 안양6동 호정타워 627호,011-788-1472
제타P&C,김승완,서울특별시 강남구 언주로134길 6 (논현동) 성암빌딩 501호,704-3070
선진경영연구원,한근석,"인천광역시 남구 미추홀대로697번길 22 (주안동, 롯데하이텔) 롯데하이텔 1010",032-247-8999
(주)중앙경영컨설팅,박종운,충북 청주시 흥덕구 사직동 221-20,043-275-5777
중앙경제진단연구소,서종완,서울특별시 은평구 녹번로 60 (녹번동),0264077993
중앙경제진단연구소,서종완,서울특별시 은평구 녹번로 60 (녹번동),0264077993
동한닷컴,김용찬,서울특별시 동작구 상도로37길 64 (상도동) 상록빌딩 103호,02-813-4888
신영기술경영(주),김월수,대구광역시 수성구 달구벌대로 2503 (범어동) 동일빌딩8층,053-745-5575
에이센산업,안상훈,서울 강남구 대치동 은마아파트 6-204,02-424-5023
에이앤씨시스템(주),조항일,"서울특별시 서초구 서초대로78길 44 (서초동, 나산스위트) 나산스위트407호",02-586-9973
win경영정보컨설팅(주),이흥경,부산광역시 금정구 옥봉로14번길 1 (서동) 현대 @ 3-515호,051-818-6920
유한,송기욱,서울특별시 강남구 테헤란로 504 (대치동) 해성빌딩 지속가능경영본부,02-528-1354
주식회사우리경영컨설팅,성중모,경상북도 구미시 구미중앙로 300 (송정동) 2층,054-451-9001
아이디어브레인,강병선,충남 천안시 서북구 쌍용2동 쌍용동일하이빌아파트 108-202,070-8823-9866
원포인트경영연구원,오형민,경기도 부천시 원미구 호수로 27-1 (상동),0323293590
제타플랜에프엔인베스트,송성호,"서울특별시 강남구 테헤란로 423 (삼성동, 현대타워) 현대타워 1802",025384801
아이피시컨설팅,노준익,서울 도봉구 방학1동 대상현대아파트 103-1204호,010-3708-9001
(주)유나이티드파트너스,이재욱,울산광역시 중구 구교6길 15 (반구동),010-5535-8667
(주)유피에스컨설팅,이형순,"서울특별시 서초구 사임당로 137 (서초동, 신동아아파트) 신동아@ 3동 611호",02-581-1600
와이티피,전대봉,서울특별시 관악구 남부순환로 1413 (신림동) 3층,01043880072
명신경영컨설팅,송재철,부산 동래구 사직2동 삼정그린코아아파트 105동1401,051-504-2735
삼성세무경영연구원,노자원,"경기도 고양시 일산서구 중앙로 1470 (주엽동, 문촌마을10단지아파트) 동부썬프라자B-108호",031-911-4187
(주)미래경영아웃소싱,김승환,대전광역시 서구 둔산중로 38 (둔산동) 메트로존 803호,042-489-9941
삼일노무법인 경기지사,김병대,경기도 안산시 단원구 광덕3로 167-18 (고잔동) 삼성타운 301호,031-414-2700
한국경영.기술컨설턴트협회,임채웅,서울중랑구면목5동150-38 서울중랑구면목5동150-38,017-251-1533
홍기용,홍기용,인천광역시 연수구 아카데미로 119 (송도동) 인천대학교 경영대학 401호,032-835-8518
이유식,이유식,경기도 시흥시 큰솔로46번길 10 (정왕동) 204,010 4871 8290
(주)한컨설팅그룹,이응훈,서울특별시 금천구 가산디지털2로 165 (가산동) 백상스타타워 2차 1107호,02-6111-6976
원스톱경영연구원,방권수,부산 북구 금곡동 화명한일유앤아이아파트 105동 403호,010-364-4097
프로벤처링(주),홍성호,서울특별시 서초구 서초대로 355 (서초동) 서초메이플라워맴버스빌 1106호,07088304401
정연수세무회계사무소,정연수,광주 남구 진월동 한국아델리움아파트 102동1106호,018/610/1070
(주)블레싱컨설팅,방요환,서울특별시 동작구 성대로1길 9 (상도동),02-822-8982
대한인베스트먼트,윤정우,서울특별시 동작구 성대로1길 9 (상도동) 대한인베스트빌딩2층,02-822-8982
키움경영컨설팅,황한재,"대구광역시 수성구 지범로39길 56 (범물동, 범물보성타운) 보성타운 102-801",053-784-9572
dddd,안상돈,"경기도 고양시 덕양구 화신로 76 (행신동, 샘터마을1단지아파트) 샘터마을1 단지 104-502",031-973-0983
원스톱경영연구원(주),방권수,경상남도 양산시 삼성1길 9 (북정동),055-365-6644
(주)케이엠티경영기술원,류영식,경기도 안양시 동안구 관악대로106번길 72 (비산동) 롯데낙천대 아파트 115동 1801호,02-3462-9001
I G 경영컨설팅,조용호,인천광역시 남동구 남동서로236번길 40 (논현동) 예성빌딩6층 607호,032-815-9713
박영철경영지도사무소,박영철,부산 연제구 거제1동 거제2차현대홈타운 부산시 연제구 거제1동 1479 현대홈타운2차 212동2001호,051-507-9551
이원선세무회계사무소,이원선,대전 서구 갈마1동 293-10  한밭새마을금고 3층 301호,0424873750
문종일,문종일,광주 남구 진월동 331-9310동1406호,062-652-2350
문종일,문종일,광주광역시 남구 서문대로749번마길 28 (진월동) 중흥아파트 102동 1406호,062-652-2350
최광문,최광문,경기도 양평군 양동면 양동로 1112,0192357902
박진완,박진완,"서울특별시 양천구 중앙로39길 21-21 (신정동, 산호파크빌) 산호파크빌 102호",010-3159-6480
(주)영진테크,박근종,경남 창원시 반림동 노블파크아파트 115-802,0552529977
(주)테크빌알앤비디,박해연,경기 안산시 상록구 이동  574-9번지 402호,031-406-7524
빅데이터기술연구원주식회사,배종옥,서울 송파구 송파1동 135-7  강남빌딩 4층,02-424-8300
벽성경영상담(주),조용식,"서울특별시 송파구 가락로36길 15-20 (방이동, 클래식빌리지) 클래식빌라401호",02-508-5051
...,이진락,서울특별시 성동구 무학봉길 65 (하왕십리동),010-9252-0268
(주)한국이업종전략경영연구소,박광봉,충북 청주시 흥덕구 모충동 서원대학교 BioRIC213-1호,043-214-3981
강종선,강종선,경기 안산시 상록구 장상동 1298-5,5027177
(주)에이치에이치,김일회,충북 청주시 상당구 우암동 229-10,250-7181
한국경영기술지도연구소 이사장,연제은,강서구화곡1동346-96 346-96,02)779-7115
알엔지경영컨설팅,정금수,경기도 안산시 단원구 고잔로 51 (고잔동) 타워아이즈빌1차 706호,031-403-7595
박주병,박주병,대전광역시 유성구 유성대로 777-1 (장대동) 4층 401호,042-824-7526
나명수,나명수,경기도 군포시 고산로 571 (산본동),01062679827
김도진 경영컨설팅,김도진,서울특별시 강남구 일원로 28 (일원동) 한신아파트 101-704,02-445-3709
킴스경영연구원,김형권,전북 전주시 완산구 효자동3가 전주대학교 벤처창업관 209호,063)219-2365
인프라비즈컨설팅,이정익,광주광역시 광산구 하남산단천변좌로 19 (오선동) 광주드림파크 202호,062-952-0083
보영나라,윤영하,경기 성남시 분당구 금곡동 청솔마을대원아파트 804-1702,031-714-5869
포럼,김은정,경기도 안양시 만안구 석천로211번길 82 (석수동),031-472-7794
김연부,김연부,서울특별시 용산구 후암로16나길 9 (후암동) 스위스빌라 201호,010-5088-7730
세무사 김봉규 사무소,김봉규,"서울특별시 송파구 토성로 37 (풍납동, 현대리버빌아파트) 현대리버빌 302동 1103호",024776331
이현배,이현배,"경기도 성남시 수정구 수정로 131 (태평동, 낙원스카이뷰) 주민신협",031-755-4968
12535,이근갑,서울특별시 영등포구 국제금융로8길 32 (여의도동) 동부증권,02-369-3090
김정열경영지도사사무소,김정열,"서울특별시 양천구 목동중앙로 57 (목동, 신동아파밀리에아파트) 신동아파밀리아 502호",017-215-2965
문솔루션,김경문,"서울특별시 서초구 명달로 10 (서초동, 서초금호어울림) 금호어울림 101-702호",02-3476-1607
유지룔,유지룡,경기 동두천시 지행동 현진에버빌아파트 108-1501,0318676612
마나테크코리아,김칠성,서울특별시 동작구 만양로12가길 10-7 (노량진동),02-823-5771
미래세무경영컨설팅,김동석,서울 서초구 방배2동 우성아파트 103-1205,02-581-7471
서영곤,서영곤,경기도 용인시 기흥구 동백죽전대로 201-11 (중동),010-3111-2288
새터컨설팅,여술연,서울 강서구 가양2동 대림경동아파트 105-606,0172397036
목우경영컨설팅,김재철,경기 용인시 수지구 성복동 성동마을LG빌리지1차아파트 102-1801,0312665367
세룡 컨설팅,이상국,대구광역시 수성구 동대구로25길 24-26 (황금동),016-504-2062
청출경영컨설팅,최한석,"대구광역시 남구 관문시장1길 18 (대명동, 조은하이빌)",053-651-1436
김정수경영회계사무소,김정수,"대구광역시 수성구 달구벌대로 3280-1 (신매동, 시지효성백년가약2단지아파트) 시지 효성백선가약204동802호",010-9382-5000
이창준세무회계사무소,이창준,대구광역시 남구 명덕로 126 (대명동) (4층),01038098884
윤여봉세무회계사무소,윤여봉,부산광역시 수영구 광남로 14 (남천동) 한주빌딩 402호,016-823-1189
케이엠경영컨설팅,윤경만,서울특별시 강남구 역삼로4길 16 (역삼동) 성우스타우스 508호,02-538-9110
하나로경영자문(주),김정수,대구 남구 대명9동 332-8(오정형외과3층),053-622-5000
중앙경제진단연구소,성중모,서울특별시 은평구 녹번로 60 (녹번동),02-6407-7993
111,김정현,서울 은평구 불광동 213-45,02-354-3543
투비컨설팅,정해두,경기 수원시 팔달구 향교로57번길 11 101호,
윈경영정보컨설팅(주),유원범,경남 양산시 남부동 주공아파트8단지 809동 803호,055-387-4886
세진경영컨설팅,서원열,경상북도 경산시 성암로12길 37 (옥산동),016-9830-0105
세진경영컨설팅,서원열,경상북도 경산시 성암로12길 37 (옥산동),016-9830-0105
동남경영컨설팅(주),하진용,경상북도 경주시 금성로368번길 7 (성건동) 201호,054-774-5496
(주)파워경제전략연구소,임홍규,경기도 안산시 단원구 고잔2길 65 (고잔동) 경신빌딩 501호,031-480-7317
BT&S,천창훈,서울 마포구 창전동 금호아파트 103동 1603호,018-323-2512
이정우,이정우,서울특별시 중랑구 겸재로27길 99 (면목동) 201호,010-3821-8532
PFISCYOOKWANGcorpor,류광하,"서울특별시 강서구 양천로57길 37 (가양동, 가양4단지아파트) SH공사406동 1212호",02-2668-1189
(주)I&S 경영연구소,정하식,전라남도 여수시 여수산단로 723 (중흥동),061-692-1472
SD경영컨설팅,나순단,서울 동작구 노량진1동 신동아리버파크아파트 703동 110호,02-581-1986
벽성경영상담(주),조용식,서울특별시 강남구 테헤란로 323 (역삼동) 704호,02-508-5051
(주)위더스씨지,홍수석,서울 영등포구 여의도동 한서오피스텔 1409호,02-853-4119
미래창업컨설팅,서종상,"대구광역시 수성구 무학로 189 (지산동, 녹원아파트) 녹원아파트 103동 607호",053-654-1840
삼정종합경영컨설팅,이종희,광주 동구 궁동 111,062-675-7500
김영래경영지도사사무소,김영래,부산광역시 부산진구 동평로127번길 88-10 (부암동),051-808-3816
에스엠글로벌 회계법인,양성모,경기 고양시 덕양구 행신동 햇빛마을2201동 205호,07082233726
대산경영연구소,서진동,대구 달서구 이곡2동 청남아파트 106-1207,011-815-2550
두레경영컨설팅,이양재,대전광역시 동구 동서대로 1708 (가양동) 명신빌딩 502호,042-624-7489
브이아이컨설팅(주),권오인,경남 창원시 상남동 덕산베스트텔 1111호,070-7436-9001
마이비즈컨설팅(주),육무영,경기 용인시 수지구 신봉2로 72 자이2차아파트 216동 1901호,031-263-5261
(주)케이아이경영컨설팅,전현우,대구 북구 산격동 전자상가 1동 210호,053-383-1050
(주)컨설팅코리아,황영제,부산광역시 수영구 민락본동로31번길 33 (민락동) 오성빌딩 201호,051-363-7726
f,박상희,충북 청주시 흥덕구 가경동 가경이편한세상아파트 502동 1102호,016-471-8575
조용구경영회계사무소,조용구,"대구광역시 달서구 월배로11길 9-15 (유천동, 진천역 화성파크 리젠시 1단지) 화성파크리젠시101-1703호",053-637-9455
박능보,박능보,경상북도 경산시 하양읍 하양역길 1-16,053-854-5569
skk컨설팅그룹,서종수,경기도 수원시 영통구 매여울로40번길 9 (매탄동) 102호 SKK컨설팅그룹,031-239-0293
M&F경영기술연구소,김희윤,부산 서구 대영로38번길 11 106동 3202호,051-292-4726
B&M컨설팅,지봉찬,서울 동작구 상도1동 삼호아파트 104동906호,011-9001-9532
(유)한국경영정책연구원,한영일,경기 용인시 기흥구 중동 어은목마을한라비발디아파트 4002,016-306-9738
(주)재경경영컨설팅,이수영,충북 청주시 흥덕구 수곡1동 81-7  4층,043-262-7763
밸류업경영컨설팅,배수암,서울 광진구 구의로 57-1 504호,010-7225-0815
k&s경영컨설팅,김학수,서울특별시 용산구 대사관로 32 (한남동),02-790-7113
우리애,이병학,서울 노원구 하계동 현대2차아파트 202-1104,02)949-3945
경인,김광섭,부산 동래구 안락동 화목아파트 107동1001호,0515271655
성진세무회계컨설팅,김창영,서울특별시 강남구 개포로120길 53 (일원동) 1층,0234126721
明(명) 컨설팅,오명훈,인천광역시 남구 석바위로 29 (도화동) 201호,032-865-1475
ERM연구원,임일태,울산광역시 울주군 온양읍 온양로 80,052-239-8816
글로벌컨펌(주),양창봉,서울특별시 강남구 봉은사로 129 (논현동) 거평타운 1315호,02-543-8976
글로벌컨펌(주),양창봉,서울특별시 강남구 봉은사로 129 (논현동) 거평타운 1315호,02-543-8976
(주)산업경영컨설팅,최재인,대전 서구 월평동 266백합상가B-17,042-365-9001
(주)에이펙씨비시,강민수,서울특별시 구로구 구로중앙로18길 5 (구로동) 현대오피스텔605호,0103-668-4176
한국경영기술지원센터,금재일,경기 수원시 팔달구 영통동 살구골7단지아파트 서광@ 708-1104,016-327-3573
(주)세계로경영기술,여승구,서울특별시 은평구 은평로 91 (응암동) CJ드림시티 B동 303호,02-2681-5338
새한오앤에스,박문용,"서울특별시 서초구 서초대로 12 (방배동, 세양아르비채) 세앙아르비채101동 202호",02-594-7500
신한세무경영컨설팅,조수락,서울특별시 서초구 서초대로29길 10-9 (방배동),0163505018
한국사업전략연구소,권오선,인천광역시 연수구 용담로62번길 21 (청학동),032-816-8054
제이디가치경영연구소,김찬식,서울특별시 강남구 학동로 224 (논현동) 삼환아르누보 3차 420호,02-4334-1919
(주)앞선세상,현무암,경기 수원시 팔달구 영통동 살구골7단지아파트 718동603호,031-204-0792
